type,organism,paralog
Complex,C. glabrata,1.01582278481013
Complex,C. glabrata,1.0064308681672
Complex,C. glabrata,1.05434782608696
Complex,C. glabrata,1.01929260450161
Complex,C. glabrata,1.0
Complex,C. glabrata,1.02402402402402
Complex,C. glabrata,1.01315789473684
Complex,C. glabrata,1.01916932907348
Complex,C. glabrata,1.0
Complex,C. glabrata,1.05120481927711
Complex,C. glabrata,1.01214574898785
Complex,C. glabrata,1.13084112149533
Complex,C. glabrata,1.01398601398601
Complex,C. glabrata,1.0
Complex,C. glabrata,1.27696793002915
Complex,C. glabrata,1.27696793002915
Complex,C. glabrata,1.03058103975535
Complex,C. glabrata,1.02639296187683
Complex,C. glabrata,1.01079136690647
Complex,C. glabrata,1.009375
Complex,C. glabrata,1.01474926253687
Complex,C. glabrata,1.01173020527859
Complex,C. glabrata,1.02058823529412
Complex,C. glabrata,1.01524390243902
Complex,C. glabrata,1.04229607250755
Complex,C. glabrata,1.02719033232628
Complex,C. glabrata,1.00589970501475
Complex,C. glabrata,2.93002915451895
Complex,C. glabrata,1.0133779264214
Complex,C. glabrata,1.0126582278481
Complex,C. glabrata,1.01524390243902
Complex,C. glabrata,1.05970149253731
Complex,C. glabrata,1.02013422818792
Complex,C. glabrata,1.01047120418848
Complex,C. glabrata,1.00874635568513
Complex,C. glabrata,1.01058201058201
Complex,C. glabrata,1.0
Complex,C. glabrata,1.10355987055016
Complex,C. glabrata,1.51034482758621
Complex,C. glabrata,1.02090592334495
Complex,C. glabrata,1.00892857142857
Complex,C. glabrata,1.14331210191083
Complex,C. glabrata,1.01201201201201
Complex,C. glabrata,1.01063829787234
Complex,C. glabrata,1.07407407407407
Complex,C. glabrata,1.07038123167155
Complex,C. glabrata,1.04615384615385
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01302931596091
Complex,C. glabrata,1.00555555555556
Complex,C. glabrata,1.03498542274052
Complex,C. glabrata,1.0117994100295
Complex,C. glabrata,1.02469135802469
Complex,C. glabrata,1.00931677018634
Complex,C. glabrata,1.02040816326531
Complex,C. glabrata,1.03963414634146
Complex,C. glabrata,1.00307692307692
Complex,C. glabrata,1.64327485380117
Complex,C. glabrata,1.01538461538462
Complex,C. glabrata,1.01333333333333
Complex,C. glabrata,1.01572327044025
Complex,C. glabrata,1.00636942675159
Complex,C. glabrata,1.10746268656716
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01461988304094
Complex,C. glabrata,1.08383233532934
Complex,C. glabrata,1.01388888888889
Complex,C. glabrata,1.07038123167155
Complex,C. glabrata,1.01930501930502
Complex,C. glabrata,1.03716216216216
Complex,C. glabrata,1.0078431372549
Complex,C. glabrata,1.28484848484849
Complex,C. glabrata,1.1
Complex,C. glabrata,1.04716981132075
Complex,C. glabrata,1.00602409638554
Complex,C. glabrata,1.034375
Complex,C. glabrata,1.0133779264214
Complex,C. glabrata,1.02402402402402
Complex,C. glabrata,1.02201257861635
Complex,C. glabrata,1.028125
Complex,C. glabrata,1.03311258278146
Complex,C. glabrata,1.02702702702703
Complex,C. glabrata,1.04561403508772
Complex,C. glabrata,1.02760736196319
Complex,C. glabrata,2.56851311953353
Complex,C. glabrata,1.02647058823529
Complex,C. glabrata,2.56851311953353
Complex,C. glabrata,2.56851311953353
Complex,C. glabrata,1.09667673716012
Complex,C. glabrata,1.01379310344828
Complex,C. glabrata,1.01294498381877
Complex,C. glabrata,1.00423728813559
Complex,C. glabrata,1.01169590643275
Complex,C. glabrata,1.29707112970711
Complex,C. glabrata,1.29707112970711
Complex,C. glabrata,1.01136363636364
Complex,C. glabrata,1.01775147928994
Complex,C. glabrata,1.02332361516035
Complex,C. glabrata,1.03548387096774
Complex,C. glabrata,1.01618122977346
Complex,C. glabrata,1.01223241590214
Complex,C. glabrata,1.04093567251462
Complex,C. glabrata,1.02366863905325
Complex,C. glabrata,1.00297619047619
Complex,C. glabrata,1.1466275659824
Complex,C. glabrata,1.03244837758112
Complex,C. glabrata,1.15151515151515
Complex,C. glabrata,1.01661129568106
Complex,C. glabrata,1.06140350877193
Complex,C. glabrata,1.06896551724138
Complex,C. glabrata,1.0
Complex,C. glabrata,1.00655737704918
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01483679525223
Complex,C. glabrata,1.01483679525223
Complex,C. glabrata,1.01497005988024
Complex,C. glabrata,1.04477611940299
Complex,C. glabrata,1.01075268817204
Complex,C. glabrata,1.0
Complex,C. glabrata,1.02040816326531
Complex,C. glabrata,1.01449275362319
Complex,C. glabrata,1.01307189542484
Complex,C. glabrata,1.01470588235294
Complex,C. glabrata,1.01488095238095
Complex,C. glabrata,1.01759530791789
Complex,C. glabrata,1.01851851851852
Complex,C. glabrata,1.00632911392405
Complex,C. glabrata,1.00934579439252
Complex,C. glabrata,1.02795031055901
Complex,C. glabrata,1.01457725947522
Complex,C. glabrata,1.01176470588235
Complex,C. glabrata,1.00595238095238
Complex,C. glabrata,1.01543209876543
Complex,C. glabrata,1.00606060606061
Complex,C. glabrata,1.01628664495114
Complex,C. glabrata,1.01581027667984
Complex,C. glabrata,1.95043731778426
Complex,C. glabrata,1.95043731778426
Complex,C. glabrata,1.02909090909091
Complex,C. glabrata,1.00294117647059
Complex,C. glabrata,1.01556420233463
Complex,C. glabrata,1.01533742331288
Complex,C. glabrata,1.0
Complex,C. glabrata,1.75892857142857
Complex,C. glabrata,1.01623376623377
Complex,C. glabrata,1.03606557377049
Complex,C. glabrata,1.01524390243902
Complex,C. glabrata,1.01602564102564
Complex,C. glabrata,1.05919003115265
Complex,C. glabrata,1.01857585139319
Complex,C. glabrata,1.00641025641026
Complex,C. glabrata,1.03448275862069
Complex,C. glabrata,1.02941176470588
Complex,C. glabrata,1.02077151335312
Complex,C. glabrata,1.01342281879195
Complex,C. glabrata,1.00906344410876
Complex,C. glabrata,1.00694444444444
Complex,C. glabrata,1.02265372168285
Complex,C. glabrata,1.01123595505618
Complex,C. glabrata,1.00673400673401
Complex,C. glabrata,1.01742160278746
Complex,C. glabrata,1.02265372168285
Complex,C. glabrata,1.01166180758017
Complex,C. glabrata,1.00675675675676
Complex,C. glabrata,1.01183431952663
Complex,C. glabrata,1.01519756838906
Complex,C. glabrata,1.00900900900901
Complex,C. glabrata,1.00327868852459
Complex,C. glabrata,1.01273885350318
Complex,C. glabrata,1.0
Complex,C. glabrata,1.01438848920863
Complex,C. glabrata,1.00696864111498
Complex,C. glabrata,1.01041666666667
Complex,C. glabrata,1.01388888888889
Complex,C. glabrata,1.01408450704225
Complex,C. glabrata,1.03703703703704
Complex,C. glabrata,1.01612903225806
Complex,C. glabrata,1.03846153846154
Complex,C. glabrata,1.0
Complex,C. glabrata,1.0
Complex,C. glabrata,1.015625
Complex,C. glabrata,1.00900900900901
Complex,C. glabrata,1.01298701298701
Complex,C. glabrata,1.01212121212121
Complex,C. glabrata,1.07565789473684
Complex,C. glabrata,1.01780415430267
Complex,C. glabrata,1.00977198697068
Complex,C. glabrata,1.01506024096386
Complex,C. glabrata,1.00680272108844
Complex,C. glabrata,1.01923076923077
Complex,C. glabrata,1.66472303206997
Complex,C. glabrata,1.01754385964912
Complex,C. glabrata,1.70087976539589
Complex,C. glabrata,1.66472303206997
Complex,C. glabrata,2.08529411764706
