"X1" "OG" "conservation_score" "species_num"
"1" 0 "OG6423" 0.5221335 71
"2" 1 "OG7721" 0.5805015 46
"3" 2 "OG2820" 0.4860855 326
"4" 3 "OG23792" 0.748346 5
"5" 4 "OG1672" 0.4589255 342
"6" 5 "OG20406" 0.740519 6
"7" 6 "OG2987" 0.48703 324
"8" 8 "OG20377" 0.7007325 6
"9" 9 "OG5864" 0.4519755 88
"10" 10 "OG21752" 0.6871685 4
"11" 12 "OG16528" 0.8169505 5
"12" 13 "OG4121" 0.521042 280
"13" 14 "OG5797" 0.480795 93
"14" 15 "OG3016" 0.713029 313
"15" 16 "OG3867" 0.4878065 290
"16" 17 "OG1908" 0.465485 284
"17" 18 "OG7434" 0.469404 50
"18" 20 "OG2239" 0.3963525 333
"19" 21 "OG20329" 0.7494965 6
"20" 22 "OG4447" 0.798193 251
"21" 23 "OG4917" 0.441323 198
"22" 24 "OG2689" 0.3983345 326
"23" 25 "OG1826" 0.281087 339
"24" 27 "OG9842" 0.618573 24
"25" 28 "OG2032" 0.740573 341
"26" 29 "OG7002" 0.50879 59
"27" 31 "OG4518" 0.4870065 241
"28" 32 "OG23725" 0.780397 5
"29" 33 "OG3255" 0.439089 317
"30" 35 "OG3840" 0.713296 295
"31" 38 "OG3120" 0.663745 318
"32" 40 "OG2977" 0.584437 320
"33" 41 "OG27259" 0.7487535 4
"34" 43 "OG8199" 0.626394 30
"35" 45 "OG14690" 0.671288 8
"36" 48 "OG20264" 0.787095 6
"37" 49 "OG11411" 0.6728795 13
"38" 51 "OG2507" 0.499384 336
"39" 53 "OG20334" 0.6694645 5
"40" 54 "OG1241" 0.5202665 311
"41" 55 "OG1860" 0.597167 342
"42" 56 "OG4737" 0.4689525 222
"43" 57 "OG20294" 0.752822 6
"44" 58 "OG6220" 0.4274925 77
"45" 60 "OG32706" 0.757645 3
"46" 63 "OG2090" 0.581543 342
"47" 64 "OG5319" 0.4986155 56
"48" 65 "OG6433" 0.540003 65
"49" 66 "OG7045" 0.435598 57
"50" 68 "OG32299" 0.781158 3
"51" 69 "OG23639" 0.761999 5
"52" 70 "OG2812" 0.509913 328
"53" 71 "OG7661" 0.38497 47
"54" 72 "OG2310" 0.384138 337
"55" 73 "OG26451" 0.739089 4
"56" 74 "OG4269" 0.569214 265
"57" 75 "OG3079" 0.460172 319
"58" 76 "OG1261" 0.317249 316
